price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sale_year
330000.0,3,2.5,1680,11312,1.0,N,0,Average,7,1080,600,1959,0,98146,47.5051,-122.344,1390,10700,2014
608500.0,4,3.5,2850,5577,2.0,N,0,Average,8,1950,900,2014,0,98056,47.5252,-122.192,2850,5708,2015
310000.0,3,1.5,1140,3104,2.0,N,0,Average,7,1140,0,1988,0,98029,47.5707,-122.018,1150,2981,2014
625000.0,3,2.0,1730,12219,1.0,N,0,Good,7,1730,0,1986,0,98004,47.5825,-122.189,2470,13594,2014
698000.0,4,2.5,2990,7231,2.0,N,0,Average,9,2990,0,2001,0,98075,47.5623,-122.032,3160,8339,2014
392400.0,5,2.5,2520,27951,1.5,N,0,Average,7,1890,630,1942,1970,98155,47.7733,-122.318,1830,14373,2015
548000.0,3,2.5,2110,4099,2.0,N,0,Average,8,2110,0,2001,0,98072,47.7508,-122.17,2110,4871,2014
480000.0,3,1.5,2100,67269,1.0,N,0,Good,7,1220,880,1949,0,98028,47.7592,-122.23,1610,15999,2014
435000.0,3,1.75,1750,16748,1.0,N,0,Average,7,1330,420,1978,0,98072,47.7421,-122.089,1750,16050,2014
320000.0,3,1.0,1400,9000,1.0,N,0,Very Good,7,1400,0,1959,0,98059,47.5022,-122.145,1440,8400,2014
230005.0,2,1.0,1030,6000,1.0,N,0,Fair,7,830,200,1951,0,98118,47.5291,-122.268,1770,5000,2015
310000.0,4,2.25,1780,8820,1.0,N,0,Good,8,1480,300,1966,0,98032,47.3618,-122.289,1780,8625,2015
650000.0,5,3.5,3990,10120,2.0,N,0,Average,9,2820,1170,1990,0,98011,47.74100000000001,-122.208,2750,9622,2014
659000.0,4,2.5,3190,11375,1.0,N,0,Very Good,8,2210,980,1946,0,98125,47.70399999999999,-122.3,1100,8500,2014
390000.0,3,1.75,1260,6500,1.0,N,0,Good,7,1260,0,1966,0,98008,47.6224,-122.116,1500,7700,2014
235000.0,3,1.0,1460,8400,1.0,N,0,Average,7,1460,0,1958,0,98055,47.4243,-122.198,1460,9600,2015
270000.0,3,2.0,1300,1920,2.0,N,0,Average,8,850,450,2006,0,98126,47.5183,-122.376,1300,1344,2014
1321620.0,5,2.75,2410,19447,2.0,N,2,Average,10,2290,120,1968,0,98040,47.5549,-122.211,2980,19447,2014
521450.0,3,2.0,1290,5700,1.0,N,0,Very Good,7,1290,0,1950,0,98116,47.5713,-122.397,1160,5700,2014
234950.0,2,2.5,1720,3132,2.0,N,0,Average,8,1720,0,1999,0,98042,47.3728,-122.157,1740,4220,2015
405000.0,3,2.0,1060,651,3.0,N,0,Average,7,1060,0,2007,0,98103,47.6828,-122.345,1440,1501,2015
1225000.0,3,3.5,3680,11491,2.0,N,2,Average,11,3680,0,1999,0,98007,47.5647,-122.128,3710,10030,2014
480000.0,2,1.0,710,4800,1.0,N,0,Fair,6,710,0,1950,0,98112,47.6212,-122.298,1480,1721,2015
1650000.0,4,3.25,3920,881654,3.0,N,3,Average,11,3920,0,2002,0,98024,47.5385,-121.896,2970,112384,2015
3100000.0,6,4.25,6980,15682,3.0,N,4,Good,12,5330,1650,1999,0,98040,47.5552,-122.231,3930,18367,2014
485230.0,4,2.5,2714,12558,2.0,N,0,Average,9,2714,0,2014,0,98031,47.3522,-122.201,2873,8269,2014
319000.0,3,1.0,960,8556,1.0,N,0,Average,7,960,0,1971,0,98034,47.7245,-122.22,1320,7528,2014
285000.0,4,2.25,2150,8250,1.0,N,0,Good,7,1240,910,1978,0,98023,47.3045,-122.378,2050,7875,2014
445000.0,3,2.25,1630,6449,1.0,N,0,Average,7,1310,320,1986,0,98011,47.7275,-122.232,1620,7429,2015
825000.0,3,2.25,2510,10418,1.0,N,0,Average,8,1810,700,1968,0,98115,47.7003,-122.285,2510,9435,2015
467500.0,3,1.75,2260,8512,1.0,N,0,Average,7,1130,1130,1948,0,98125,47.7129,-122.304,2240,8040,2014
535000.0,4,2.5,2240,6920,1.0,N,0,Very Good,8,1380,860,1974,0,98146,47.5011,-122.375,1540,7000,2015
285000.0,4,1.75,2080,13629,1.0,N,0,Good,7,1040,1040,1955,0,98178,47.4866,-122.232,1780,14659,2014
905000.0,4,2.5,3300,10250,1.0,N,0,Average,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,2014
505000.0,2,1.0,1000,4640,1.0,N,2,Average,7,1000,0,1915,0,98116,47.5659,-122.389,1940,5800,2015
585000.0,3,1.0,1350,4800,1.5,N,0,Average,7,1350,0,1928,0,98116,47.5749,-122.412,1360,4800,2015
650000.0,3,2.0,2660,257875,1.0,N,2,Good,8,1530,1130,1976,0,98024,47.553,-121.887,1710,64033,2015
225000.0,3,2.5,1590,8449,2.0,N,0,Average,7,1590,0,1989,0,98030,47.3493,-122.177,1750,7172,2014
199950.0,3,1.0,840,9480,1.0,N,0,Average,6,840,0,1960,0,98023,47.3277,-122.341,840,9420,2015
701000.0,4,1.5,1840,10080,2.0,N,0,Average,8,1840,0,1907,0,98118,47.5575,-122.279,1830,5040,2015
839950.0,4,2.75,3010,7200,2.0,N,0,Average,9,3010,0,2014,0,98033,47.6948,-122.179,3010,7203,2014
705000.0,2,2.5,2300,6400,1.0,N,0,Average,8,2300,0,2007,0,98053,47.7196,-122.02,2300,6400,2014
720000.0,4,2.5,3340,8930,2.0,N,2,Average,10,3340,0,1999,0,98065,47.535,-121.867,3160,7865,2014
710000.0,4,2.5,2880,12349,2.0,N,0,Average,10,2880,0,1996,0,98075,47.5879,-121.973,3490,11539,2014
325000.0,2,1.0,1010,6180,1.0,N,0,Average,6,1010,0,1903,0,98118,47.5532,-122.28,1560,6180,2015
479000.0,4,2.5,2370,30378,2.0,N,0,Average,8,2370,0,1996,0,98042,47.3389,-122.066,2870,34834,2015
353500.0,4,2.5,3250,4650,2.0,N,0,Average,8,3250,0,2007,0,98031,47.4004,-122.203,2960,4650,2015
740000.0,3,3.5,2420,4000,2.0,N,0,Very Good,9,1820,600,1907,0,98122,47.6054,-122.295,2030,4550,2014
192000.0,2,1.0,700,10540,1.0,N,0,Average,6,700,0,1953,0,98166,47.438,-122.336,890,10540,2014
354950.0,4,2.75,2530,7350,1.0,N,0,Very Good,8,1280,1250,1977,0,98023,47.313,-122.374,2280,7350,2014
1450000.0,4,3.5,4360,24603,2.0,N,0,Average,12,4360,0,1998,0,98074,47.6035,-122.005,4770,27521,2014
785000.0,4,2.5,3270,9578,2.0,N,0,Average,9,3270,0,1993,0,98027,47.5373,-122.051,3120,8784,2014
382000.0,2,1.0,870,10492,1.0,N,0,Average,7,870,0,1937,0,98106,47.5467,-122.365,1300,7987,2015
500000.0,3,1.0,2000,21780,1.0,N,0,Average,8,1480,520,1978,0,98074,47.6064,-122.039,2000,45738,2015
425000.0,3,2.25,1630,10500,1.0,N,0,Average,7,1100,530,1974,0,98034,47.7176,-122.236,1640,9794,2014
641000.0,4,2.5,2600,6015,2.0,N,0,Average,8,2600,0,2004,0,98075,47.5971,-122.031,2910,5305,2014
660000.0,5,3.5,3160,5175,2.0,N,0,Average,9,3160,0,2014,0,98011,47.755,-122.216,2100,9351,2014
525000.0,3,1.75,1600,9579,1.0,N,0,Average,8,1180,420,1977,0,98072,47.7662,-122.159,1750,9829,2015
1325000.0,3,3.75,6400,76665,1.0,N,2,Good,10,3810,2590,1966,0,98177,47.7313,-122.37,3430,60548,2014
535000.0,4,1.75,1570,3250,1.5,N,0,Very Good,8,1570,0,1928,0,98136,47.5405,-122.393,1570,5720,2015
995000.0,3,4.5,4380,47044,2.0,Y,3,Average,9,3720,660,1968,1990,98166,47.4734,-122.365,2460,18512,2014
325000.0,4,2.5,1820,9161,1.0,N,0,Good,7,1220,600,1975,0,98058,47.4333,-122.168,1860,7650,2014
299500.0,4,2.25,1600,15312,1.0,N,0,Good,7,1080,520,1979,0,98045,47.4629,-121.743,1620,12375,2014
649000.0,2,1.75,2260,280962,2.0,N,2,Average,9,1890,370,2005,0,98014,47.6359,-121.94,2860,219542,2014
1035000.0,4,3.25,3450,11240,2.0,N,3,Good,10,2430,1020,1960,2001,98166,47.4556,-122.372,2412,19499,2014
370000.0,3,1.75,1150,6600,1.5,N,0,Good,6,1150,0,1970,0,98033,47.6709,-122.185,1530,6600,2014
222000.0,3,1.0,990,8840,1.0,N,0,Average,6,990,0,1966,0,98023,47.3074,-122.371,1120,8625,2015
660000.0,3,2.0,1770,8141,1.0,N,0,Very Good,8,1770,0,1952,0,98177,47.7232,-122.371,1770,8100,2015
408000.0,3,3.0,1500,1473,2.0,N,0,Average,8,1120,380,2000,0,98122,47.6063,-122.305,1720,1976,2014
690000.0,3,2.5,2590,4961,2.0,N,0,Average,9,2590,0,1944,2007,98126,47.5271,-122.381,1230,4961,2015
658500.0,2,1.0,1410,5101,1.5,N,0,Average,8,1410,0,1927,0,98103,47.6872,-122.333,1410,4224,2014
150000.0,3,1.0,890,6488,1.5,N,0,Average,5,890,0,1928,0,98014,47.7087,-121.352,1330,16250,2015
595000.0,3,2.25,2400,16301,1.0,N,0,Average,8,1400,1000,1962,0,98115,47.6901,-122.282,1720,9828,2014
530000.0,5,1.75,1570,3000,2.0,N,0,Good,7,1570,0,1908,0,98105,47.6677,-122.316,1610,3000,2015
524000.0,3,2.25,2140,6720,1.0,N,0,Average,8,1440,700,1961,0,98117,47.6949,-122.396,2060,6720,2014
449500.0,4,3.0,2580,7299,2.0,N,0,Average,8,2580,0,1998,0,98058,47.4646,-122.15,2250,6165,2014
585000.0,3,2.5,1910,1501,2.5,N,0,Average,8,1530,380,2007,0,98199,47.6441,-122.385,1760,1750,2014
280000.0,3,2.5,1550,4486,2.0,N,0,Average,7,1550,0,2000,0,98001,47.3299,-122.269,1700,4487,2015
925000.0,4,2.5,2670,5100,2.0,N,0,Average,8,1940,730,1929,2010,98117,47.6768,-122.39,1470,4080,2014
603500.0,3,1.75,2140,7280,1.0,N,0,Average,7,1070,1070,1910,0,98117,47.6993,-122.377,2280,8400,2015
968000.0,5,2.5,2900,9799,1.0,N,0,Average,8,1450,1450,1959,0,98004,47.6255,-122.208,2810,9687,2014
247000.0,4,2.0,1750,8116,1.0,N,0,Good,5,1750,0,1943,0,98056,47.5097,-122.181,1440,7865,2014
1824100.0,3,2.25,3330,20053,2.0,N,0,Average,9,3330,0,1968,1998,98004,47.6395,-122.214,2870,20053,2015
820000.0,3,1.75,2160,6272,1.0,N,0,Good,8,1390,770,1960,0,98115,47.6777,-122.306,1290,5376,2014
475000.0,3,2.25,2280,5750,1.0,N,1,Good,7,1150,1130,1985,0,98116,47.5641,-122.393,1500,5060,2014
715000.0,4,1.0,1710,6050,1.5,N,0,Average,7,1410,300,1913,0,98118,47.5569,-122.288,1560,4950,2015
825000.0,3,3.5,2670,3000,2.0,N,0,Average,9,1870,800,2014,0,98117,47.6813,-122.372,1750,5000,2014
634950.0,3,3.0,2180,2650,1.5,N,0,Very Good,8,1410,770,1930,0,98117,47.6891,-122.375,1570,4820,2014
300000.0,4,2.5,2620,4469,2.0,N,0,Average,7,2620,0,2008,0,98042,47.3663,-122.115,2250,4500,2014
601000.0,3,2.5,1740,1251,2.0,N,0,Average,9,1180,560,2012,0,98199,47.644,-122.385,1740,1625,2014
325000.0,4,2.5,2090,7434,1.0,N,0,Average,7,1090,1000,1993,0,98146,47.4962,-122.349,1260,8404,2015
290000.0,3,2.5,2020,4861,2.0,N,0,Average,7,2020,0,2005,0,98058,47.4659,-122.144,2170,4600,2015
231000.0,3,1.75,1220,8817,1.0,N,0,Average,7,1220,0,1978,0,98023,47.3111,-122.396,2000,8028,2015
1598000.0,5,3.75,4270,7500,2.0,N,0,Average,10,3210,1060,2014,0,98033,47.6845,-122.207,2410,8350,2014
246000.0,3,1.0,990,9145,1.5,N,0,Good,6,990,0,1939,0,98146,47.5022,-122.36,1640,8320,2015
439000.0,5,2.0,2610,5009,1.0,N,0,Average,7,1710,900,1988,0,98117,47.6969,-122.366,1600,5040,2014
280000.0,3,2.5,1020,2217,2.0,N,0,Average,7,720,300,2004,0,98106,47.5343,-122.348,1060,1524,2015
539000.0,3,2.25,1540,5338,1.0,N,0,Very Good,7,770,770,1954,0,98115,47.6942,-122.304,1680,6525,2015
355000.0,3,2.0,2160,8091,1.5,N,0,Average,8,2160,0,2000,0,98003,47.3474,-122.303,2190,8297,2014
270000.0,4,2.5,1670,8056,1.0,N,0,Average,7,1170,500,1961,0,98168,47.4884,-122.319,1360,8056,2015
700000.0,3,2.5,2060,10650,1.0,N,0,Very Good,8,1050,1010,1976,0,98006,47.5627,-122.137,2690,8850,2015
305000.0,3,2.25,1646,9519,2.0,N,0,Average,7,1646,0,1994,0,98038,47.3646,-122.036,1975,8889,2014
180000.0,2,1.0,890,6000,1.0,N,0,Fair,6,890,0,1919,0,98178,47.4976,-122.225,1100,6000,2015
380000.0,4,1.5,1680,11123,1.0,N,0,Average,7,1130,550,1959,0,98177,47.7565,-122.361,1770,10103,2014
287000.0,5,1.5,2040,11772,1.0,N,0,Good,7,1030,1010,1963,0,98056,47.5015,-122.166,1560,9435,2014
427200.0,3,1.0,1030,8400,1.0,N,0,Good,7,1030,0,1963,0,98056,47.5364,-122.173,1270,8400,2015
950000.0,3,3.0,4040,14338,2.0,N,0,Average,10,3030,1010,1986,0,98077,47.7268,-122.06,3360,14142,2014
950000.0,7,3.5,3470,16264,2.0,N,0,Good,9,3470,0,1980,0,98007,47.6203,-122.149,3040,13500,2015
2350000.0,6,4.25,5550,11547,2.0,N,2,Average,11,4270,1280,2014,0,98033,47.6547,-122.202,3480,11547,2015
854000.0,4,2.75,3150,38865,1.0,N,0,Average,10,2480,670,1986,0,98052,47.7302,-122.106,3150,35880,2014
729000.0,3,3.25,2250,60548,1.0,N,0,Average,9,2250,0,2005,0,98038,47.4246,-122.014,2760,84070,2014
430000.0,3,2.0,1910,5040,1.5,N,0,Average,8,1910,0,1971,0,98074,47.6312,-122.061,1980,4275,2014
845000.0,5,2.0,1720,9972,1.0,N,0,Good,8,1720,0,1951,0,98004,47.6368,-122.218,2700,9023,2014
455000.0,3,2.25,2180,6850,1.0,N,0,Average,7,1750,430,1973,0,98034,47.7246,-122.217,1740,7016,2014
475000.0,4,2.5,2040,16200,2.0,N,0,Average,8,2040,0,1997,0,98019,47.7366,-121.958,2530,15389,2015
626500.0,3,1.75,1610,3210,1.0,N,0,Very Good,7,910,700,1928,0,98103,47.6656,-122.335,1420,3210,2014
432900.0,3,2.5,2210,9226,2.0,N,0,Average,8,2210,0,1998,0,98045,47.4849,-121.782,2430,8902,2014
340000.0,3,1.75,3400,46382,1.0,N,0,Average,7,2050,1350,1979,0,98053,47.6458,-121.955,2320,20624,2014
330000.0,3,1.0,2140,5037,1.0,N,0,Average,7,2140,0,1957,0,98118,47.5494,-122.274,1630,6054,2015
370000.0,4,2.5,2720,8666,2.0,N,0,Average,9,2720,0,1992,0,98030,47.3846,-122.169,2410,8100,2014
532500.0,3,1.75,1620,3360,1.0,N,0,Very Good,7,980,640,1927,0,98117,47.6886,-122.361,1400,3840,2014
440000.0,3,2.0,1800,10950,1.0,N,0,Good,8,1800,0,1982,0,98006,47.557,-122.163,2400,11300,2015
329000.0,3,2.75,1920,7700,1.0,N,0,Good,8,1320,600,1978,0,98023,47.3213,-122.378,2040,8000,2015
390000.0,4,2.5,2610,7227,2.0,N,0,Average,9,2610,0,2011,0,98010,47.31399999999999,-122.023,2630,7421,2015
430000.0,3,2.25,2020,2750,2.0,N,0,Average,8,1680,340,2008,0,98108,47.5633,-122.297,1720,1546,2014
352000.0,2,2.5,1320,1957,1.0,N,0,Average,8,660,660,2004,0,98106,47.5364,-122.365,1420,2198,2015
390000.0,2,1.0,930,3100,1.0,N,0,Average,6,930,0,1911,0,98144,47.5943,-122.302,1670,3800,2014
705000.0,4,2.0,1820,5001,2.0,N,0,Average,7,1820,0,1947,2002,98119,47.6438,-122.373,1440,5408,2014
196700.0,2,1.0,1090,9994,1.0,N,0,Average,7,1090,0,1954,0,98168,47.4761,-122.287,1090,11700,2014
500000.0,2,1.5,2070,5432,2.0,N,0,Average,7,1370,700,1951,0,98108,47.5571,-122.299,2070,5505,2015
375000.0,2,1.0,710,4618,1.0,N,1,Average,5,710,0,1925,0,98199,47.64,-122.394,1810,4988,2015
450000.0,3,1.5,1340,7200,1.0,N,0,Average,7,1340,0,1972,0,98034,47.718,-122.193,1730,8820,2015
372000.0,3,2.5,1920,15260,2.0,N,0,Average,7,1920,0,1990,0,98019,47.7317,-121.964,2370,15235,2015
265000.0,3,2.25,1489,2800,2.0,N,0,Average,7,1489,0,2012,0,98002,47.3454,-122.214,1584,2800,2015
575000.0,1,1.0,1310,8667,1.5,N,0,Poor,6,1310,0,1918,0,98122,47.6059,-122.313,1130,4800,2014
280000.0,3,1.5,1430,8861,1.0,N,0,Average,7,1430,0,1956,0,98188,47.4454,-122.289,1080,9425,2015
700000.0,3,1.75,2000,14733,1.0,N,0,Good,8,2000,0,1958,0,98005,47.6001,-122.178,2620,14733,2015
540000.0,3,1.5,2600,5085,1.0,N,0,Good,7,1400,1200,1940,0,98126,47.5659,-122.376,1320,4000,2014
497000.0,3,2.25,1630,3817,2.0,N,0,Average,7,1630,0,2005,0,98029,47.5485,-121.999,1630,3348,2014
179000.0,3,1.0,920,5200,1.0,N,0,Good,6,920,0,1969,0,98042,47.3603,-122.085,920,5200,2014
675000.0,3,2.5,2320,98445,1.0,N,0,Good,8,1380,940,1978,0,98072,47.7323,-122.116,2830,54014,2014
803000.0,4,2.5,2790,7673,2.0,N,0,Average,9,2790,0,1989,0,98052,47.6692,-122.136,2740,7837,2015
612000.0,3,3.0,1740,3700,1.0,N,0,Average,7,1740,0,1982,0,98122,47.6102,-122.309,1830,2480,2014
291500.0,3,1.0,880,9238,1.5,N,0,Very Good,6,880,0,1946,0,98155,47.7494,-122.319,1170,9238,2014
885000.0,4,2.5,2830,5000,2.0,N,0,Average,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,2014
600000.0,5,3.5,3150,10542,1.0,N,0,Very Good,9,1620,1530,1974,0,98011,47.7469,-122.217,3150,11807,2014
316500.0,3,1.75,1600,14250,1.0,N,0,Average,7,1070,530,1979,0,98023,47.3272,-122.355,2140,14960,2014
99000.0,2,1.0,960,8236,1.0,N,0,Fair,6,960,0,1948,0,98058,47.4698,-122.166,1260,8236,2015
756000.0,3,2.5,3560,8297,1.0,N,2,Good,8,1650,1910,1948,0,98199,47.6473,-122.407,2760,8297,2015
315000.0,3,1.0,1170,62290,2.0,N,0,Average,5,1170,0,1986,0,98045,47.5104,-121.787,1810,42173,2015
864000.0,3,2.75,3060,13554,2.0,N,0,Average,10,3060,0,1984,0,98006,47.5609,-122.106,3060,11455,2015
728050.0,3,2.5,2320,6775,1.0,N,0,Average,8,2320,0,2008,0,98053,47.7158,-122.016,1680,4750,2014
679000.0,4,2.5,3080,8451,1.0,N,0,Average,7,1540,1540,1969,0,98052,47.674,-122.154,1550,8125,2015
289571.0,3,1.5,1340,25160,1.0,N,0,Average,7,1340,0,1968,0,98059,47.475,-122.111,1440,23680,2015
300000.0,3,1.0,930,5160,1.5,N,0,Very Good,6,930,0,1919,0,98106,47.5256,-122.357,1060,5160,2014
307550.0,4,2.5,1980,5909,2.0,N,0,Average,8,1980,0,2003,0,98031,47.3913,-122.185,2550,5487,2014
401000.0,3,2.25,1350,2839,2.0,N,0,Average,7,1350,0,2003,0,98053,47.6824,-122.036,1650,3093,2014
599000.0,5,2.5,2950,72309,2.0,N,0,Average,8,2950,0,2006,0,98058,47.4186,-122.079,1480,56192,2014
965000.0,5,2.75,3280,12673,1.0,N,0,Good,9,2050,1230,1981,0,98006,47.5504,-122.146,3060,12847,2015
422500.0,3,1.75,1560,7245,1.5,N,0,Average,7,1560,0,1962,1985,98052,47.6868,-122.119,2220,8502,2014
495000.0,3,2.5,1800,7318,2.0,N,0,Average,8,1800,0,1989,0,98029,47.5747,-122.008,1800,5414,2015
252000.0,3,2.25,1670,7881,1.0,N,0,Good,7,1190,480,1977,0,98031,47.4105,-122.18,1870,7820,2014
270000.0,4,1.75,1560,4290,2.0,N,0,Average,7,1560,0,1994,0,98108,47.5292,-122.323,1250,6000,2015
436000.0,3,2.5,1460,1238,2.0,N,0,Average,8,1200,260,2008,0,98107,47.6719,-122.374,1280,1257,2014
322000.0,3,1.75,1400,18002,1.0,N,0,Average,6,1400,0,1977,0,98019,47.725,-121.967,2240,14068,2014
674725.0,4,2.5,2700,10160,2.0,N,0,Average,9,2700,0,1988,0,98029,47.5685,-122.012,2760,9219,2015
452500.0,3,2.5,2430,88426,1.0,N,0,Good,7,1570,860,1985,0,98045,47.4828,-121.718,1560,56827,2014
285000.0,3,1.0,1160,7875,1.0,N,0,Average,7,1160,0,1953,0,98125,47.724,-122.323,1600,7875,2014
320000.0,4,2.5,2050,8424,2.0,N,0,Good,8,2050,0,1993,0,98022,47.196000000000005,-122.011,1970,8448,2014
595000.0,5,2.75,3740,6750,1.0,N,0,Good,8,1980,1760,1978,0,98028,47.7679,-122.261,2620,7920,2015
241500.0,3,2.0,1310,7349,1.0,N,0,Average,7,870,440,1995,0,98030,47.3639,-122.186,1690,6580,2015
740000.0,5,3.75,3990,18897,2.0,N,0,Average,8,3090,900,1937,2010,98125,47.7228,-122.31,2080,9793,2014
343000.0,2,1.0,1180,9261,1.0,N,0,Good,7,940,240,1957,0,98118,47.5492,-122.274,1700,6325,2014
795000.0,3,3.25,2260,3727,2.0,N,0,Average,8,1880,380,2003,0,98119,47.6422,-122.361,1600,4800,2014
363000.0,3,1.75,1960,8136,1.0,N,0,Average,7,980,980,1948,0,98106,47.5208,-122.364,1070,7480,2015
272000.0,4,2.25,2115,6234,2.0,N,0,Average,7,2115,0,1998,0,98002,47.285,-122.201,2440,6366,2014
334950.0,4,2.5,2190,7000,2.0,N,0,Average,8,2190,0,1997,0,98042,47.3718,-122.109,2040,7700,2014
849000.0,5,3.25,2450,6534,2.0,N,0,Average,8,1770,680,1951,2014,98115,47.688,-122.281,1620,6534,2014
